,cell abundance (cells/L) (last letter: S=surface; B=bottom),A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4B (a lot of debris),B3B (less debris than A4B),C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S from McManus Lab,E1S,F2S,H4S,I2S,J2S,K2S,"A4B Eutreptiella bloom, a lot of debris",B3B,C1B,"D3B W/o Lugol's added, data not used in analysis",E1B,F2B,H4B,I2B few cells,J2B,K2B,A4S,"B3S w/o lugol's added, but the sample was still good ",C1S,D3S,E1S,F2S,H4S,I2S,J1S,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J1B,K2B,A4S,B3S,C1S,D1S,E1S,F2S,H4S,I2S,J2S,K2S,A4B,B3B,C1B,D1B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2,K2B,A4S (a lot of debris),B3S,C1S,D3S,E1S,F2 S,H4S,I2S (large amount of debris),J2S,K2S,A4B,B3B,C1B,D3B,E1B,F2 B,H4B,I2B,J2B,K2B
,Chaetoceros simplex,,,,,,,,,,,,13200,880,2904,1452,13200,13200,1452,13200,2904,8800,,,13200,1452,,1452,2904,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,1452,,,,,,4400,13200,8800,2904,13200,,4400,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,8800,4400,,,,,,1452,2904,,,1452,,,,,,,,
,Chaetoceros socialis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros teres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros spp.,1452,,13200,7304,57200,,1452,4400,,8800,92400,35200,145200,61600,1452,26400,39600,30800,17600,2904,338800,391600,215600,35200,66000,145200,48400,92400,39600,,110000,101200,26400,,44000,39600,,,,,,,,,,,,,,,,,,,,,,,4400,13200,48400,,22000,,52800,,,,,,,,,,,,,,,4400,44000,35200,,48400,22000,74800,17600,13200,13200,22000,,,4400,,,8800,,,10252,2904,26400,,,44000,30800,79200,158400,48400,44000,347600,,,,,22000,26400,44000,61600,334400,224400,2904,17600,4400,22000,,48400,4400,52800,61600,8800,26400,8800,,8800,,8800,8800,44000,10252,92400,1452,22000,13200,2904,,,,8800,8800,5852,22000,39600,2904,,,8800,,8800,,,,10252,44000,5852,,,,,,,,2904,8800,,,4400,4400,,17600,
,resting spores of Chaetoceros spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climacosphenia,Climacosphenia moniligera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethron,Corethron hystrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,1452,,1452,8800,1452,,4400,,,,,,,,,,,,,,,,,,,,,,,,
,Corethron criophlium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,4400,2904,5852,2904,,,,,1452,13200,13200,4400,,,,,,,,,,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinodiscus,Coscinodiscus asteromphalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coscinodiscus bipartitus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
